ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-1016N|refseq:NP_498007|uniprotkb:P30429	DIP-250N|refseq:NP_499284|uniprotkb:P41958	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:9027312|pubmed:DIP-13S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-66E	dip-quality-status:core	dip:0002(small scale)		-
DIP-1016N|refseq:NP_498007|uniprotkb:P30429	DIP-244N|refseq:NP_502538|uniprotkb:P42573	 -	-	-	-	MI:0047(far western blotting)|MI:0096(pull down)|MI:0019(coimmunoprecipitation)	-	pubmed:16938876|pubmed:DIP-17266S|pubmed:16938876|pubmed:DIP-17266S|pubmed:9027312|pubmed:DIP-13S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-67E	dip-quality-status:core	dip:0004(small scale)|dip:0004(small scale)|dip:0002(small scale)		-
DIP-1014N|uniprotkb:P24348	DIP-926N|refseq:NP_508145|uniprotkb:Q19019	 -	-	-	-	MI:0401(biochemical)	-	pubmed:7652556|pubmed:DIP-453S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)	MI:0465(dip)	DIP-87E	dip-quality-status:core	dip:0002(small scale)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-24509N|refseq:NP_504409|uniprotkb:O16488	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40434E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24510N|refseq:NP_494771|uniprotkb:Q10457	DIP-24510N|refseq:NP_494771|uniprotkb:Q10457	-	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40444E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25050N	DIP-27086N|refseq:NP_502104|uniprotkb:Q93934	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40447E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-25287N	DIP-25287N	-	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40406E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-26683N|refseq:NP_507906|uniprotkb:Q9U2W6	DIP-25464N|refseq:NP_501024|uniprotkb:Q17539	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40497E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-24478N|refseq:NP_497346|uniprotkb:Q95Y72	DIP-25350N|refseq:NP_498869|uniprotkb:Q04908	 -	-	-	-	MI:0004(affinity chromatography technology)|MI:0018(two hybrid)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40863E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
DIP-27342N|refseq:NP_494893|uniprotkb:Q21746	DIP-26522N|refseq:NP_509519|uniprotkb:Q18124	 -	-	-	-	MI:0018(two hybrid)|MI:0004(affinity chromatography technology)	-	pubmed:14704431|pubmed:DIP-3921S|pubmed:14704431|pubmed:DIP-3921S	taxid:6239(Caenorhabditis elegans)	taxid:6239(Caenorhabditis elegans)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-40807E	dip-quality-status:core	dip:0005(high throughput)|dip:0005(high throughput)		-
