ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-19N|refseq:NP_477311|uniprotkb:P07713	DIP-19N|refseq:NP_477311|uniprotkb:P07713	-	-	-	-	MI:0045(experimental interaction detection)	-	pubmed:1692958|pubmed:DIP-321S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-74E	dip-quality-status:core	dip:0002(small scale)		-
DIP-343N|refseq:NP_009971|uniprotkb:P23255	DIP-80N|refseq:NP_523805|uniprotkb:P20227	 -	-	-	-	MI:0404(comigration in non denaturing gel electrophoresis)|MI:0045(experimental interaction detection)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:4932(Saccharomyces cerevisiae)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-163E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-40N|refseq:NP_733133|uniprotkb:P16371	DIP-637N|refseq:NP_523977|uniprotkb:P14003	 -	-	-	-	MI:0096(pull down)|MI:0018(two hybrid)|MI:0096(pull down)|MI:0096(pull down)	-	pubmed:17898168|pubmed:DIP-16862S|pubmed:9371806|pubmed:DIP-326S|pubmed:17898168|pubmed:DIP-16862S|pubmed:19805071|pubmed:DIP-12903S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-344E	dip-quality-status:core	dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-723N|refseq:NP_524504|uniprotkb:Q01070	DIP-721N|refseq:NP_524505|uniprotkb:Q01069	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-371E	dip-quality-status:core	dip:0002(small scale)		-
DIP-80N|refseq:NP_523805|uniprotkb:P20227	DIP-239N|refseq:NP_523391|uniprotkb:Q27272	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:7545910|pubmed:DIP-412S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-165E	dip-quality-status:core	dip:0002(small scale)		-
DIP-636N|refseq:NP_476694|uniprotkb:P09775	DIP-356N|refseq:NP_524509|uniprotkb:Q01068	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-347E	dip-quality-status:core	dip:0002(small scale)		-
DIP-187N|refseq:NP_476824|uniprotkb:P10083	DIP-723N|refseq:NP_524504|uniprotkb:Q01070	 -	-	-	-	MI:0018(two hybrid)	-	pubmed:9371806|pubmed:DIP-326S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)	MI:0465(dip)	DIP-358E	dip-quality-status:core	dip:0002(small scale)		-
DIP-239N|refseq:NP_523391|uniprotkb:Q27272	DIP-778N|refseq:NP_524161|uniprotkb:P49847	 -	-	-	-	MI:0007(anti tag coimmunoprecipitation)	-	pubmed:16895980|pubmed:DIP-17231S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0915(physical association)	MI:0465(dip)	DIP-147E	dip-quality-status:core	dip:0004(small scale)		-
DIP-228N|uniprotkb:P51123	DIP-80N|refseq:NP_523805|uniprotkb:P20227	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0013(biophysical)|MI:0047(far western blotting)|MI:0401(biochemical)|MI:0045(experimental interaction detection)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)	-	pubmed:8170939|pubmed:DIP-414S|pubmed:rtd:8464492|pubmed:DIP-347S|pubmed:8464492|pubmed:DIP-17395S|pubmed:8170939|pubmed:DIP-414S|pubmed:rtd:8464492|pubmed:DIP-347S|pubmed:8170939|pubmed:DIP-414S|pubmed:8464492|pubmed:DIP-17395S|pubmed:8464492|pubmed:DIP-17395S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-153E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-237N|uniprotkb:P47825	DIP-228N|uniprotkb:P51123	 -	-	-	-	MI:0045(experimental interaction detection)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0019(coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0006(anti bait coimmunoprecipitation)|MI:0007(anti tag coimmunoprecipitation)	-	pubmed:8327460|pubmed:DIP-413S|pubmed:rtd:8464492|pubmed:DIP-347S|pubmed:8464492|pubmed:DIP-17395S|pubmed:8327460|pubmed:DIP-413S|pubmed:8464492|pubmed:DIP-17395S|pubmed:19541607|pubmed:DIP-12811S|pubmed:19541607|pubmed:DIP-12811S|pubmed:16895980|pubmed:DIP-17231S|pubmed:8464492|pubmed:DIP-17395S|pubmed:16895980|pubmed:DIP-17231S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0218(physical interaction)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)|MI:0915(physical association)	MI:0465(dip)	DIP-157E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0002(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)|dip:0004(small scale)		-
DIP-80N|refseq:NP_523805|uniprotkb:P20227	DIP-255N|refseq:NP_729571|uniprotkb:Q24325	 -	-	-	-	MI:0401(biochemical)|MI:0404(comigration in non denaturing gel electrophoresis)|MI:0013(biophysical)	-	pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S|pubmed:8178153|pubmed:DIP-31S	taxid:7227(Drosophila melanogaster)	taxid:7227(Drosophila melanogaster)	MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-160E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
