ID interactor A	ID interactor B	Alt. ID interactor A	Alt. ID interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Processing Status	
DIP-1025N|refseq:NP_414574|uniprotkb:P00968	DIP-1026N|refseq:NP_285726|uniprotkb:P00907	 -	-	-	-	MI:0676(tandem affinity purification)|MI:0027(cosedimentation)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)|MI:0254(genetic interference)|MI:0114(x-ray crystallography)|MI:0114(x-ray crystallography)	-	pubmed:15690043|pubmed:DIP-4168S|pubmed:11551199|pubmed:DIP-4305S|pubmed:10089390|pubmed:DIP-2051S|pubmed:9174345|pubmed:DIP-196S|pubmed:11821039|pubmed:DIP-2050S|pubmed:10587438|pubmed:DIP-2037S|pubmed:9174345|pubmed:DIP-196S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0914(association)|MI:0218(physical interaction)|MI:0407(direct interaction)|MI:0407(direct interaction)|MI:0254(genetic interference)|MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-61E	dip-quality-status:core	dip:0005(high throughput)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale)		-
DIP-339N|refseq:NP_313151|uniprotkb:P0A6F5	DIP-1081N|uniprotkb:P04273	 -	-	-	-	MI:0019(coimmunoprecipitation)	-	pubmed:8676499|pubmed:DIP-98S	taxid:83333(Escherichia coli K12)	taxid:10036(Mesocricetus auratus)	MI:0218(physical interaction)	MI:0465(dip)	DIP-58E	dip-quality-status:core	dip:0002(small scale)		-
DIP-508N|refseq:NP_290668|uniprotkb:P02928	DIP-539N|refseq:NP_290666|uniprotkb:P07622	 -	-	-	-	MI:0254(genetic interference)	-	pubmed:8411172|pubmed:DIP-177S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0254(genetic interference)	MI:0465(dip)	DIP-62E	dip-quality-status:core	dip:0002(small scale)		-
DIP-726N|uniprotkb:P0A8P6	DIP-124N|refseq:NP_417370|uniprotkb:P21891	 -	-	-	-	MI:0030(cross-linking study)|MI:0401(biochemical)	-	pubmed:9220013|pubmed:DIP-390S|pubmed:9220013|pubmed:DIP-390S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-169E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-366N|refseq:NP_416120|uniprotkb:P07001	DIP-367N|refseq:NP_288037|uniprotkb:P0AB67	 -	-	-	-	MI:0030(cross-linking study)|MI:0030(cross-linking study)	-	pubmed:2198073|pubmed:DIP-179S|pubmed:15511529|pubmed:DIP-4094S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0407(direct interaction)	MI:0465(dip)	DIP-208E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-572N|refseq:NP_040618|uniprotkb:P03702	DIP-342N|refseq:NP_414931|uniprotkb:P13458	 -	-	-	-	MI:0254(genetic interference)	-	pubmed:2531105|pubmed:DIP-240S	taxid:10710(phage lambda)	taxid:83333(Escherichia coli K12)	MI:0254(genetic interference)	MI:0465(dip)	DIP-263E	dip-quality-status:core	dip:0002(small scale)		-
DIP-572N|refseq:NP_040618|uniprotkb:P03702	DIP-540N|refseq:NP_417297|uniprotkb:P08394	 -	-	-	-	MI:0254(genetic interference)	-	pubmed:2966143|pubmed:DIP-331S	taxid:10710(phage lambda)	taxid:83333(Escherichia coli K12)	MI:0254(genetic interference)	MI:0465(dip)	DIP-269E	dip-quality-status:core	dip:0002(small scale)		-
DIP-540N|refseq:NP_417297|uniprotkb:P08394	DIP-583N|refseq:NP_059594|uniprotkb:P11191	 -	-	-	-	MI:0254(genetic interference)	-	pubmed:2966143|pubmed:DIP-331S	taxid:83333(Escherichia coli K12)	taxid:10754(phage P22)	MI:0254(genetic interference)	MI:0465(dip)	DIP-270E	dip-quality-status:core	dip:0002(small scale)		-
DIP-340N|refseq:NP_289122|uniprotkb:P15027	DIP-341N|refseq:NP_286213|uniprotkb:P0A7H6	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0013(biophysical)	-	pubmed:7962001|pubmed:DIP-220S|pubmed:7962001|pubmed:DIP-220S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-326E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
DIP-340N|refseq:NP_289122|uniprotkb:P15027	DIP-364N|refseq:NP_313068|uniprotkb:P02339	 -	-	-	-	MI:0107(surface plasmon resonance)|MI:0013(biophysical)	-	pubmed:7962001|pubmed:DIP-220S|pubmed:7962001|pubmed:DIP-220S	taxid:83333(Escherichia coli K12)	taxid:83333(Escherichia coli K12)	MI:0407(direct interaction)|MI:0218(physical interaction)	MI:0465(dip)	DIP-327E	dip-quality-status:core	dip:0002(small scale)|dip:0002(small scale)		-
